id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/import.json,keywords/from_import.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/builtins.json,count
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/api.py,python,39,99,0,0,3,2,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/backend/src/actions.py,python,171,468,0,0,11,1,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/_distutils_hack/__init__.py,python,222,628,0,0,9,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/wheel.py,python,222,824,0,0,9,7,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/extension.py,python,148,738,0,0,5,1,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/discovery.py,python,600,2291,0,0,3,9,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/unicode_utils.py,python,42,110,0,0,2,0,0,0,0,0,2
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/package_index.py,python,1126,4525,0,0,17,7,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/__init__.py,python,247,985,0,0,7,10,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/errors.py,python,58,270,0,0,0,1,0,0,0,0,1
