id,path,name,position,language,loc,words,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,loop_statements,loop_nestings,if_statements,if_nestings,functions_calls,function_calls_nestings,params,param_kw_match,parse_error
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/lib2to3/fixes/fix_execfile.py.functions/24-5,transform,24:5,python,30,105,3,0,0,0,0,0,0,0,2,1,29,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site.py.functions/278-1,getuserbase,278:1,python,11,43,0,0,1,0,0,0,0,0,1,1,1,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site.py.functions/291-1,getusersitepackages,291:1,python,13,38,0,0,1,0,0,0,0,0,1,1,2,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site.py.functions/456-1,venv,456:1,python,50,141,0,0,1,0,0,0,1,1,5,3,14,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site.py.functions/548-1,main,548:1,python,28,72,0,0,1,0,0,0,0,0,4,1,12,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/warnings.py.functions/287-1,warn,287:1,python,39,132,6,0,0,0,0,0,1,1,6,2,14,3,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/warnings.py.functions/530-5,_filters_mutated,530:5,python,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pkg_resources/__init__.py.functions/127-1,_declare_state,127:1,python,3,13,1,0,0,0,0,0,0,0,0,0,4,2,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pkg_resources/__init__.py.functions/132-1,__getstate__,132:1,python,6,20,1,0,0,0,0,0,1,1,0,0,3,1,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pkg_resources/__init__.py.functions/140-1,__setstate__,140:1,python,5,21,1,0,0,0,0,0,1,1,0,0,3,1,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pkg_resources/__init__.py.functions/3057-1,issue_warning,3057:1,python,11,28,1,0,0,0,0,0,1,1,0,0,3,1,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pkg_resources/__init__.py.functions/3236-1,_initialize,3236:1,python,9,34,1,0,0,0,0,0,0,0,0,0,6,2,0,0,none
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pkg_resources/__init__.py.functions/3257-1,_initialize_master_working_set,3257:1,python,37,99,1,0,0,0,0,0,0,0,0,0,11,2,0,0,none
133431126,tot_projects/0/133431126-cc270113da3f429cebdbe806aa665c1a47ccf0c1/charlesq34-pointnet-autoencoder-cc27011/utils/show3d_balls.py.functions/12-1,onmouse,12:1,python,7,23,0,0,1,0,0,0,0,0,0,0,2,1,0,0,none
133431126,tot_projects/0/133431126-cc270113da3f429cebdbe806aa665c1a47ccf0c1/charlesq34-pointnet-autoencoder-cc27011/utils/show3d_balls.py.functions/25-1,showpoints,25:1,python,135,632,0,0,1,0,0,0,1,1,18,3,92,3,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/logging/config.py.functions/811-1,listen,811:1,python,121,458,0,0,1,0,0,0,2,1,7,2,34,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/logging/config.py.functions/933-1,stopListening,933:1,python,12,29,0,0,1,0,0,0,0,0,1,1,2,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pip/_vendor/distlib/wheel.py.functions/682-5,_get_dylib_cache,682:5,python,8,25,0,0,1,0,0,0,0,0,1,1,4,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/typing.py.functions/780-5,__reduce__,780:5,python,16,66,1,0,0,0,0,0,0,0,4,2,6,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/smtpd.py.functions/112-1,usage,112:1,python,5,20,1,0,0,0,0,0,0,0,1,1,4,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/smtpd.py.functions/870-1,parseargs,870:1,python,64,216,0,0,1,0,0,0,1,1,4,1,22,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/jinja2/meta.py.functions/21-5,enter_frame,21:5,python,6,35,1,0,0,0,0,0,1,1,1,1,3,1,0,0,none
770928505,tot_projects/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/rich/__init__.py.functions/23-1,get_console,23:1,python,14,46,0,0,1,0,0,0,0,0,1,1,1,1,0,0,none
770928505,tot_projects/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_internal/commands/configuration.py.functions/141-5,_determine_file,141:5,python,29,77,0,0,1,0,0,0,0,0,2,2,5,2,0,0,none
