id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json,count
244437741,projects/0/244437741-e1d29a6332ef5c2d73bd600db79b235b382c1022/wwarriner-unsupervised_onh_histo-e1d29a6/inc/python_image_utilities/inc/file_utils/file_utils.py,python,330,1264,0,0,0,0,0,0,4,0,1
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241014144244.py,python,214,714,0,0,0,0,0,3,3,0,4
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241014153516.py,python,245,878,0,0,0,0,0,3,2,0,2
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/pygments/lexers/compiled.py,python,33,162,0,0,0,0,0,0,20,0,1
231240638,projects/0/231240638-df0e26370e2798402977973999be9545a5112fd4/syukronahmd-Machine-Learning-df0e263/Lib/site-packages/scipy/linalg/decomp_svd.py,python,495,1974,0,0,0,0,0,1,6,0,1
679068675,projects/0/679068675-77ce4e65f00e489e87361b68c322496043706f62/andlab-um-ComparisonBeha-77ce4e6/Exp2/codes for fitting/model_exp2_test.py,python,272,1143,0,0,0,0,0,5,0,0,1
3307610,projects/0/3307610-18206383db175c2d9877f6176d9c8774128c8076/grahamiancummins-gicdat-1820638/blocks.py,python,162,618,0,0,0,0,0,3,0,0,1
764546852,projects/0/764546852-9bec8281a778dd5c3c6a955f9d5a3f57335285e4/HighTowerKels-landbank-9bec828/landbankApi/venv/Lib/site-packages/werkzeug/datastructures/etag.py,python,95,377,0,0,0,0,0,0,4,0,2
600303042,projects/0/600303042-f97574f6514cf89a13d97456193b7a83e5676bcf/aaron-hu-dev-AutoAirCon-f97574f/.pycharm_helpers/generator3/docstring_parsing.py,python,213,898,0,0,0,0,0,2,5,0,1
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/testpdf1_20241022133523.py,python,9,32,0,0,0,0,0,0,1,0,1
