id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/globals.json,loc_with_kw,loc_of_files_with_keywords/globals.json,words_with_kw,words_of_files_with_keywords/globals.json,keywords/globals.json
802391902,projects/0/802391902-c0750fb9521019bbda7aee44b7eb3fd2aa49ca5f,RodneyFinkel/groq_deepgram_agent,c0750fb9521019bbda7aee44b7eb3fd2aa49ca5f,14,1561,5433,0,0,0,0,0,0,0
402076277,projects/0/402076277-61715bd02b7ee646650294d21902d6cb3fc8c6e7,mrjohannchang/cycu-clock-in-clock-out-desktop,61715bd02b7ee646650294d21902d6cb3fc8c6e7,14,1422,4737,0,0,0,0,0,0,0
228160506,projects/0/228160506-05156bd9a6e1a7f503ad4c21421380fe753b17c8,RobertSong199972/myproject,05156bd9a6e1a7f503ad4c21421380fe753b17c8,4,408,1052,0,0,0,0,0,0,0
67305961,projects/0/67305961-fb81d35b178ba922a686901e10c8bcf588a1a22c,TomCasavant/CASGame,fb81d35b178ba922a686901e10c8bcf588a1a22c,5,317,1417,0,0,0,0,0,0,0
300610532,projects/0/300610532-616128cc9011026f87fefac928c8b62f70382890,Mattchaup/extreme_pendu,616128cc9011026f87fefac928c8b62f70382890,2,292,976,0,0,0,0,0,0,0
738652127,projects/0/738652127-d5208d643d7e55ed371ca64ee343087141f35d7c,nevetto/Stroke_predictions,d5208d643d7e55ed371ca64ee343087141f35d7c,28,1046,3099,0,0,0,0,0,0,0
500876399,projects/0/500876399-31ec6345c0756eb31101d6d5380da99d4686dd4a,xym-ee/ros_arm,31ec6345c0756eb31101d6d5380da99d4686dd4a,19,2157,5938,0,0,0,0,0,0,0
319625542,projects/0/319625542-8d96206e7a761000f044bed92ba94e14c5c4da0d,xtarke/cncs,8d96206e7a761000f044bed92ba94e14c5c4da0d,3,328,1195,0,0,0,0,0,0,0
233070174,projects/0/233070174-cf504ce4cfb7f497e08cbb27e99608f5bfcd879a,moonheart/deeplearning,cf504ce4cfb7f497e08cbb27e99608f5bfcd879a,8,1769,7559,0,0,0,0,0,0,0
676154481,projects/0/676154481-93697cec97c08279b5695ba9e0b438e215d37eda,remidiy/real-system,93697cec97c08279b5695ba9e0b438e215d37eda,171,5619,16137,0,0,0,0,0,0,0
737511617,projects/0/737511617-b903b3e7bf1d541ec763beb7c97a7f4ce8461e46,odadingmantap80/eiusmod,b903b3e7bf1d541ec763beb7c97a7f4ce8461e46,11,61,3149,0,0,0,0,0,0,0
380395349,projects/0/380395349-6b6200a96df125c5c348e216bc34974936708d91,adataschultz/MaritimeTrade_COVID,6b6200a96df125c5c348e216bc34974936708d91,8,4259,16963,0,0,0,0,0,0,0
415815624,projects/0/415815624-59564fef4d427f5f44ca98867d1b059095a5551c,Jiwoo717/MyRepo,59564fef4d427f5f44ca98867d1b059095a5551c,3,199,628,0,0,0,0,0,0,0
235417661,projects/0/235417661-e5cf149dcd7d2c62e1f4ca9eea47c05cc6d838c8,wmgroot/aros,e5cf149dcd7d2c62e1f4ca9eea47c05cc6d838c8,6,778,2850,1,1,700,700,2643,2643,1
681870533,projects/0/681870533-31c02ca1cb53387f950de635939ae7c9aa0a993b,dagster-io/mdsfest-opensource-mds,31c02ca1cb53387f950de635939ae7c9aa0a993b,7,488,1219,0,0,0,0,0,0,0
39905754,projects/0/39905754-7e84cc971f6716d9ff2c3cbf22c11cfe93d8d275,murex/murex-coding-dojo,7e84cc971f6716d9ff2c3cbf22c11cfe93d8d275,19,556,2136,0,0,0,0,0,0,0
3975068,projects/0/3975068-2839da1d5215b80ded58ada167c310da4cc9f41a,collective/collective.portlet.actions,2839da1d5215b80ded58ada167c310da4cc9f41a,10,997,3657,1,1,283,283,1071,1071,1
793163513,projects/0/793163513-a6e8fd5008334f906e10429ccae4cdb63ddacabb,itsmejv404/Python_Store_Management,a6e8fd5008334f906e10429ccae4cdb63ddacabb,10,1422,8847,0,0,0,0,0,0,0
542780115,projects/0/542780115-35ff35e28e5de7f534da34145e53998ea98b9103,kozl/ates,35ff35e28e5de7f534da34145e53998ea98b9103,46,1977,6625,0,0,0,0,0,0,0
650259708,projects/0/650259708-1a7a376d9ce4b46c046ed8a338143dd5a4479288,JYULAB/NKX2-1_NEPC_project,1a7a376d9ce4b46c046ed8a338143dd5a4479288,2,222,1064,0,0,0,0,0,0,0
514691046,projects/0/514691046-8142f28146506924955566d25a5bc74bfae6e694,byrongomezjr/npr_podcast_content_aggregator,8142f28146506924955566d25a5bc74bfae6e694,2216,574736,2126555,43,43,39369,39369,155316,155316,101
244734960,projects/0/244734960-bc4598524c3878d35fe5bfe7797045b65f046292,DrJessop/SDNetTransferLearning,bc4598524c3878d35fe5bfe7797045b65f046292,24,1349,5228,0,0,0,0,0,0,0
264003941,projects/0/264003941-800eaf9199c0ef528c805462d4e572fb24f5064e,DehNutCase/Compiler-Class,800eaf9199c0ef528c805462d4e572fb24f5064e,9,2596,12627,0,0,0,0,0,0,0
564084015,projects/0/564084015-f6a93f76ed3b98447addad0f3195e499a512c246,UF-Xie-Lab/TDMD-in-Drosophila,f6a93f76ed3b98447addad0f3195e499a512c246,2,2029,9797,0,0,0,0,0,0,0
295860467,projects/0/295860467-8911dd100224cb7aeb189719af486124ead69e30,haukuri/ltl-planner,8911dd100224cb7aeb189719af486124ead69e30,26,1355,4319,0,0,0,0,0,0,0
225857556,projects/0/225857556-924d3dce8e67870372b0836de20f4c366353b60e,enric1994/detectron-api,924d3dce8e67870372b0836de20f4c366353b60e,2,84,321,0,0,0,0,0,0,0
443386706,projects/0/443386706-241b98ae66ee3dbb131c4855e5802abd5db1a87b,davidrs/famous_names,241b98ae66ee3dbb131c4855e5802abd5db1a87b,1,92,294,0,0,0,0,0,0,0
